,end_schedule
101,"{58: 61741, 57: 61752, 56: 61767, 55: 61782, 54: 61797, 53: 61812, 52: 61827, 51: 61842, 50: 61857, 49: 61872, 43: 61878, 35: 61881, 42: 61882, 36: 61885, 37: 62041, 5: 62061, 6: 62085, 7: 62108, 8: 62126, 9: 62185}"
102,"{58: 63541, 57: 63552, 56: 63567, 55: 63582, 54: 63597, 53: 63612, 52: 63627, 51: 63642, 50: 63657, 49: 63672, 43: 63678, 35: 63681, 42: 63682, 36: 63685, 37: 63841, 5: 63861, 6: 63885, 7: 63908, 8: 63926, 9: 63985}"
103,"{58: 65341, 57: 65352, 56: 65367, 55: 65382, 54: 65397, 53: 65412, 52: 65427, 51: 65442, 50: 65457, 49: 65472, 43: 65478, 35: 65481, 42: 65482, 36: 65485, 37: 65641, 5: 65661, 6: 65685, 7: 65708, 8: 65726, 9: 65785}"
104,"{10: 4501, 11: 4520, 12: 4541, 13: 4557, 14: 4572, 44: 4576, 45: 4594, 46: 4801, 47: 4805, 48: 4812, 65: 4827, 66: 4842, 67: 4857, 68: 4872, 69: 4887, 70: 4902, 71: 4917, 72: 4932, 73: 4943, 74: 5002}"
105,"{10: 7381, 11: 7400, 12: 7421, 13: 7437, 14: 7452, 44: 7456, 45: 7474, 46: 7681, 47: 7685, 48: 7692, 65: 7707, 66: 7722, 67: 7737, 68: 7752, 69: 7767, 70: 7782, 71: 7797, 72: 7812, 73: 7823, 74: 7882}"
106,"{10: 8221, 11: 8240, 12: 8261, 13: 8277, 14: 8292, 44: 8296, 45: 8314, 46: 8521, 47: 8525, 48: 8532, 65: 8547, 66: 8562, 67: 8577, 68: 8592, 69: 8607, 70: 8622, 71: 8637, 72: 8652, 73: 8663, 74: 8722}"
107,"{58: 4621, 57: 4632, 56: 4647, 55: 4662, 54: 4677, 53: 4692, 52: 4707, 51: 4722, 50: 4737, 49: 4752, 43: 4758, 35: 4761, 42: 4762, 36: 4765, 37: 4921, 5: 4941, 6: 4965, 7: 4988, 8: 5006, 9: 5065}"
108,"{10: 10141, 11: 10160, 12: 10181, 13: 10197, 14: 10212, 44: 10216, 45: 10234, 46: 10441, 47: 10445, 48: 10452, 65: 10467, 66: 10482, 67: 10497, 68: 10512, 69: 10527, 70: 10542, 71: 10557, 72: 10572, 73: 10583, 74: 10642}"
109,"{58: 6061, 57: 6072, 56: 6087, 55: 6102, 54: 6117, 53: 6132, 52: 6147, 51: 6162, 50: 6177, 49: 6192, 43: 6198, 35: 6201, 42: 6202, 36: 6205, 37: 6361, 5: 6381, 6: 6405, 7: 6428, 8: 6446, 9: 6505}"
110,"{10: 12181, 11: 12200, 12: 12221, 13: 12237, 14: 12252, 44: 12256, 45: 12274, 46: 12481, 47: 12485, 48: 12492, 65: 12507, 66: 12522, 67: 12537, 68: 12552, 69: 12567, 70: 12582, 71: 12597, 72: 12612, 73: 12623, 74: 12682}"
111,"{58: 8041, 57: 8052, 56: 8067, 55: 8082, 54: 8097, 53: 8112, 52: 8127, 51: 8142, 50: 8157, 49: 8172, 43: 8178, 35: 8181, 42: 8182, 36: 8185, 37: 8341, 5: 8361, 6: 8385, 7: 8408, 8: 8426, 9: 8485}"
112,"{10: 13981, 11: 14000, 12: 14021, 13: 14037, 14: 14052, 44: 14056, 45: 14074, 46: 14341, 47: 14345, 48: 14352, 65: 14367, 66: 14382, 67: 14397, 68: 14412, 69: 14427, 70: 14442, 71: 14457, 72: 14472, 73: 14483, 74: 14542}"
113,"{58: 9841, 57: 9852, 56: 9867, 55: 9882, 54: 9897, 53: 9912, 52: 9927, 51: 9942, 50: 9957, 49: 9972, 43: 9978, 35: 9981, 42: 9982, 36: 9985, 37: 10141, 5: 10161, 6: 10185, 7: 10208, 8: 10226, 9: 10285}"
114,"{10: 15721, 11: 15740, 12: 15761, 13: 15777, 14: 15792, 44: 15796, 45: 15814, 46: 16081, 47: 16085, 48: 16092, 65: 16107, 66: 16122, 67: 16137, 68: 16152, 69: 16167, 70: 16182, 71: 16197, 72: 16212, 73: 16223, 74: 16282}"
115,"{58: 11701, 57: 11712, 56: 11727, 55: 11742, 54: 11757, 53: 11772, 52: 11787, 51: 11802, 50: 11817, 49: 11832, 43: 11838, 35: 11841, 42: 11842, 36: 11845, 37: 12001, 5: 12021, 6: 12045, 7: 12068, 8: 12086, 9: 12145}"
116,"{10: 17581, 11: 17600, 12: 17621, 13: 17637, 14: 17652, 44: 17656, 45: 17674, 46: 17941, 47: 17945, 48: 17952, 65: 17967, 66: 17982, 67: 17997, 68: 18012, 69: 18027, 70: 18042, 71: 18057, 72: 18072, 73: 18083, 74: 18142}"
117,"{58: 13501, 57: 13512, 56: 13527, 55: 13542, 54: 13557, 53: 13572, 52: 13587, 51: 13602, 50: 13617, 49: 13632, 43: 13638, 35: 13641, 42: 13642, 36: 13645, 37: 13801, 5: 13821, 6: 13845, 7: 13868, 8: 13886, 9: 13945}"
118,"{10: 18541, 11: 18560, 12: 18581, 13: 18597, 14: 18612, 44: 18616, 45: 18634, 46: 18841, 47: 18845, 48: 18852, 65: 18867, 66: 18882, 67: 18897, 68: 18912, 69: 18927, 70: 18942, 71: 18957, 72: 18972, 73: 18983, 74: 19042}"
119,"{58: 15421, 57: 15432, 56: 15447, 55: 15462, 54: 15477, 53: 15492, 52: 15507, 51: 15522, 50: 15537, 49: 15552, 43: 15558, 35: 15561, 42: 15562, 36: 15565, 37: 15721, 5: 15741, 6: 15765, 7: 15788, 8: 15806, 9: 15865}"
120,"{10: 20101, 11: 20120, 12: 20141, 13: 20157, 14: 20172, 44: 20176, 45: 20194, 46: 20461, 47: 20465, 48: 20472, 65: 20487, 66: 20502, 67: 20517, 68: 20532, 69: 20547, 70: 20562, 71: 20577, 72: 20592, 73: 20603, 74: 20662}"
121,"{58: 17641, 57: 17652, 56: 17667, 55: 17682, 54: 17697, 53: 17712, 52: 17727, 51: 17742, 50: 17757, 49: 17772, 43: 17778, 35: 17781, 42: 17782, 36: 17785, 37: 17941, 5: 17961, 6: 17985, 7: 18008, 8: 18026, 9: 18085}"
122,"{10: 21901, 11: 21920, 12: 21941, 13: 21957, 14: 21972, 44: 21976, 45: 21994, 46: 22261, 47: 22265, 48: 22272, 65: 22287, 66: 22302, 67: 22317, 68: 22332, 69: 22347, 70: 22362, 71: 22377, 72: 22392, 73: 22403, 74: 22462}"
123,"{58: 19321, 57: 19332, 56: 19347, 55: 19362, 54: 19377, 53: 19392, 52: 19407, 51: 19422, 50: 19437, 49: 19452, 43: 19458, 35: 19461, 42: 19462, 36: 19465, 37: 19681, 5: 19701, 6: 19725, 7: 19748, 8: 19766, 9: 19825}"
124,"{10: 23761, 11: 23780, 12: 23801, 13: 23817, 14: 23832, 44: 23836, 45: 23854, 46: 24061, 47: 24065, 48: 24072, 65: 24087, 66: 24102, 67: 24117, 68: 24132, 69: 24147, 70: 24162, 71: 24177, 72: 24192, 73: 24203, 74: 24262}"
125,"{58: 21121, 57: 21132, 56: 21147, 55: 21162, 54: 21177, 53: 21192, 52: 21207, 51: 21222, 50: 21237, 49: 21252, 43: 21258, 35: 21261, 42: 21262, 36: 21265, 37: 21481, 5: 21501, 6: 21525, 7: 21548, 8: 21566, 9: 21625}"
126,"{10: 25741, 11: 25760, 12: 25781, 13: 25797, 14: 25812, 44: 25816, 45: 25834, 46: 26041, 47: 26045, 48: 26052, 65: 26067, 66: 26082, 67: 26097, 68: 26112, 69: 26127, 70: 26142, 71: 26157, 72: 26172, 73: 26183, 74: 26242}"
127,"{58: 22921, 57: 22932, 56: 22947, 55: 22962, 54: 22977, 53: 22992, 52: 23007, 51: 23022, 50: 23037, 49: 23052, 43: 23058, 35: 23061, 42: 23062, 36: 23065, 37: 23281, 5: 23301, 6: 23325, 7: 23348, 8: 23366, 9: 23425}"
128,"{10: 27541, 11: 27560, 12: 27581, 13: 27597, 14: 27612, 44: 27616, 45: 27634, 46: 27841, 47: 27845, 48: 27852, 65: 27867, 66: 27882, 67: 27897, 68: 27912, 69: 27927, 70: 27942, 71: 27957, 72: 27972, 73: 27983, 74: 28042}"
129,"{58: 24721, 57: 24732, 56: 24747, 55: 24762, 54: 24777, 53: 24792, 52: 24807, 51: 24822, 50: 24837, 49: 24852, 43: 24858, 35: 24861, 42: 24862, 36: 24865, 37: 25081, 5: 25101, 6: 25125, 7: 25148, 8: 25166, 9: 25225}"
130,"{10: 29341, 11: 29360, 12: 29381, 13: 29397, 14: 29412, 44: 29416, 45: 29434, 46: 29641, 47: 29645, 48: 29652, 65: 29667, 66: 29682, 67: 29697, 68: 29712, 69: 29727, 70: 29742, 71: 29757, 72: 29772, 73: 29783, 74: 29842}"
131,"{58: 26521, 57: 26532, 56: 26547, 55: 26562, 54: 26577, 53: 26592, 52: 26607, 51: 26622, 50: 26637, 49: 26652, 43: 26658, 35: 26661, 42: 26662, 36: 26665, 37: 26881, 5: 26901, 6: 26925, 7: 26948, 8: 26966, 9: 27025}"
132,"{10: 31141, 11: 31160, 12: 31181, 13: 31197, 14: 31212, 44: 31216, 45: 31234, 46: 31441, 47: 31445, 48: 31452, 65: 31467, 66: 31482, 67: 31497, 68: 31512, 69: 31527, 70: 31542, 71: 31557, 72: 31572, 73: 31583, 74: 31642}"
133,"{58: 28321, 57: 28332, 56: 28347, 55: 28362, 54: 28377, 53: 28392, 52: 28407, 51: 28422, 50: 28437, 49: 28452, 43: 28458, 35: 28461, 42: 28462, 36: 28465, 37: 28681, 5: 28701, 6: 28725, 7: 28748, 8: 28766, 9: 28825}"
134,"{10: 32941, 11: 32960, 12: 32981, 13: 32997, 14: 33012, 44: 33016, 45: 33034, 46: 33301, 47: 33305, 48: 33312, 65: 33327, 66: 33342, 67: 33357, 68: 33372, 69: 33387, 70: 33402, 71: 33417, 72: 33432, 73: 33443, 74: 33502}"
135,"{58: 30121, 57: 30132, 56: 30147, 55: 30162, 54: 30177, 53: 30192, 52: 30207, 51: 30222, 50: 30237, 49: 30252, 43: 30258, 35: 30261, 42: 30262, 36: 30265, 37: 30481, 5: 30501, 6: 30525, 7: 30548, 8: 30566, 9: 30625}"
136,"{10: 34801, 11: 34820, 12: 34841, 13: 34857, 14: 34872, 44: 34876, 45: 34894, 46: 35161, 47: 35165, 48: 35172, 65: 35187, 66: 35202, 67: 35217, 68: 35232, 69: 35247, 70: 35262, 71: 35277, 72: 35292, 73: 35303, 74: 35362}"
137,"{58: 31861, 57: 31872, 56: 31887, 55: 31902, 54: 31917, 53: 31932, 52: 31947, 51: 31962, 50: 31977, 49: 31992, 43: 31998, 35: 32001, 42: 32002, 36: 32005, 37: 32221, 5: 32241, 6: 32265, 7: 32288, 8: 32306, 9: 32365}"
138,"{10: 36541, 11: 36560, 12: 36581, 13: 36597, 14: 36612, 44: 36616, 45: 36634, 46: 36841, 47: 36845, 48: 36852, 65: 36867, 66: 36882, 67: 36897, 68: 36912, 69: 36927, 70: 36942, 71: 36957, 72: 36972, 73: 36983, 74: 37042}"
139,"{58: 33421, 57: 33432, 56: 33447, 55: 33462, 54: 33477, 53: 33492, 52: 33507, 51: 33522, 50: 33537, 49: 33552, 43: 33558, 35: 33561, 42: 33562, 36: 33565, 37: 33721, 5: 33741, 6: 33765, 7: 33788, 8: 33806, 9: 33865}"
140,"{10: 38341, 11: 38360, 12: 38381, 13: 38397, 14: 38412, 44: 38416, 45: 38434, 46: 38641, 47: 38645, 48: 38652, 65: 38667, 66: 38682, 67: 38697, 68: 38712, 69: 38727, 70: 38742, 71: 38757, 72: 38772, 73: 38783, 74: 38842}"
141,"{58: 35581, 57: 35592, 56: 35607, 55: 35622, 54: 35637, 53: 35652, 52: 35667, 51: 35682, 50: 35697, 49: 35712, 43: 35718, 35: 35721, 42: 35722, 36: 35725, 37: 35941, 5: 35961, 6: 35985, 7: 36008, 8: 36026, 9: 36085}"
142,"{10: 40141, 11: 40160, 12: 40181, 13: 40197, 14: 40212, 44: 40216, 45: 40234, 46: 40441, 47: 40445, 48: 40452, 65: 40467, 66: 40482, 67: 40497, 68: 40512, 69: 40527, 70: 40542, 71: 40557, 72: 40572, 73: 40583, 74: 40642}"
143,"{58: 37321, 57: 37332, 56: 37347, 55: 37362, 54: 37377, 53: 37392, 52: 37407, 51: 37422, 50: 37437, 49: 37452, 43: 37458, 35: 37461, 42: 37462, 36: 37465, 37: 37681, 5: 37701, 6: 37725, 7: 37748, 8: 37766, 9: 37825}"
144,"{10: 41941, 11: 41960, 12: 41981, 13: 41997, 14: 42012, 44: 42016, 45: 42034, 46: 42241, 47: 42245, 48: 42252, 65: 42267, 66: 42282, 67: 42297, 68: 42312, 69: 42327, 70: 42342, 71: 42357, 72: 42372, 73: 42383, 74: 42442}"
145,"{58: 39181, 57: 39192, 56: 39207, 55: 39222, 54: 39237, 53: 39252, 52: 39267, 51: 39282, 50: 39297, 49: 39312, 43: 39318, 35: 39321, 42: 39322, 36: 39325, 37: 39481, 5: 39501, 6: 39525, 7: 39548, 8: 39566, 9: 39625}"
146,"{10: 43741, 11: 43760, 12: 43781, 13: 43797, 14: 43812, 44: 43816, 45: 43834, 46: 44041, 47: 44045, 48: 44052, 65: 44067, 66: 44082, 67: 44097, 68: 44112, 69: 44127, 70: 44142, 71: 44157, 72: 44172, 73: 44183, 74: 44242}"
147,"{58: 40921, 57: 40932, 56: 40947, 55: 40962, 54: 40977, 53: 40992, 52: 41007, 51: 41022, 50: 41037, 49: 41052, 43: 41058, 35: 41061, 42: 41062, 36: 41065, 37: 41221, 5: 41241, 6: 41265, 7: 41288, 8: 41306, 9: 41365}"
148,"{10: 45601, 11: 45620, 12: 45641, 13: 45657, 14: 45672, 44: 45676, 45: 45694, 46: 45901, 47: 45905, 48: 45912, 65: 45927, 66: 45942, 67: 45957, 68: 45972, 69: 45987, 70: 46002, 71: 46017, 72: 46032, 73: 46043, 74: 46102}"
149,"{58: 42721, 57: 42732, 56: 42747, 55: 42762, 54: 42777, 53: 42792, 52: 42807, 51: 42822, 50: 42837, 49: 42852, 43: 42858, 35: 42861, 42: 42862, 36: 42865, 37: 43081, 5: 43101, 6: 43125, 7: 43148, 8: 43166, 9: 43225}"
150,"{10: 47341, 11: 47360, 12: 47381, 13: 47397, 14: 47412, 44: 47416, 45: 47434, 46: 47641, 47: 47645, 48: 47652, 65: 47667, 66: 47682, 67: 47697, 68: 47712, 69: 47727, 70: 47742, 71: 47757, 72: 47772, 73: 47783, 74: 47842}"
151,"{58: 44521, 57: 44532, 56: 44547, 55: 44562, 54: 44577, 53: 44592, 52: 44607, 51: 44622, 50: 44637, 49: 44652, 43: 44658, 35: 44661, 42: 44662, 36: 44665, 37: 44881, 5: 44901, 6: 44925, 7: 44948, 8: 44966, 9: 45025}"
152,"{10: 49201, 11: 49220, 12: 49241, 13: 49257, 14: 49272, 44: 49276, 45: 49294, 46: 49501, 47: 49505, 48: 49512, 65: 49527, 66: 49542, 67: 49557, 68: 49572, 69: 49587, 70: 49602, 71: 49617, 72: 49632, 73: 49643, 74: 49702}"
153,"{58: 46321, 57: 46332, 56: 46347, 55: 46362, 54: 46377, 53: 46392, 52: 46407, 51: 46422, 50: 46437, 49: 46452, 43: 46458, 35: 46461, 42: 46462, 36: 46465, 37: 46681, 5: 46701, 6: 46725, 7: 46748, 8: 46766, 9: 46825}"
154,"{10: 50941, 11: 50960, 12: 50981, 13: 50997, 14: 51012, 44: 51016, 45: 51034, 46: 51241, 47: 51245, 48: 51252, 65: 51267, 66: 51282, 67: 51297, 68: 51312, 69: 51327, 70: 51342, 71: 51357, 72: 51372, 73: 51383, 74: 51442}"
155,"{58: 48121, 57: 48132, 56: 48147, 55: 48162, 54: 48177, 53: 48192, 52: 48207, 51: 48222, 50: 48237, 49: 48252, 43: 48258, 35: 48261, 42: 48262, 36: 48265, 37: 48481, 5: 48501, 6: 48525, 7: 48548, 8: 48566, 9: 48625}"
156,"{10: 52681, 11: 52700, 12: 52721, 13: 52737, 14: 52752, 44: 52756, 45: 52774, 46: 53041, 47: 53045, 48: 53052, 65: 53067, 66: 53082, 67: 53097, 68: 53112, 69: 53127, 70: 53142, 71: 53157, 72: 53172, 73: 53183, 74: 53242}"
157,"{58: 49861, 57: 49872, 56: 49887, 55: 49902, 54: 49917, 53: 49932, 52: 49947, 51: 49962, 50: 49977, 49: 49992, 43: 49998, 35: 50001, 42: 50002, 36: 50005, 37: 50221, 5: 50241, 6: 50265, 7: 50288, 8: 50306, 9: 50365}"
158,"{10: 54481, 11: 54500, 12: 54521, 13: 54537, 14: 54552, 44: 54556, 45: 54574, 46: 54841, 47: 54845, 48: 54852, 65: 54867, 66: 54882, 67: 54897, 68: 54912, 69: 54927, 70: 54942, 71: 54957, 72: 54972, 73: 54983, 74: 55042}"
159,"{58: 51781, 57: 51792, 56: 51807, 55: 51822, 54: 51837, 53: 51852, 52: 51867, 51: 51882, 50: 51897, 49: 51912, 43: 51918, 35: 51921, 42: 51922, 36: 51925, 37: 52141, 5: 52161, 6: 52185, 7: 52208, 8: 52226, 9: 52285}"
160,"{10: 56401, 11: 56420, 12: 56441, 13: 56457, 14: 56472, 44: 56476, 45: 56494, 46: 56701, 47: 56705, 48: 56712, 65: 56727, 66: 56742, 67: 56757, 68: 56772, 69: 56787, 70: 56802, 71: 56817, 72: 56832, 73: 56843, 74: 56902}"
161,"{58: 53521, 57: 53532, 56: 53547, 55: 53562, 54: 53577, 53: 53592, 52: 53607, 51: 53622, 50: 53637, 49: 53652, 43: 53658, 35: 53661, 42: 53662, 36: 53665, 37: 53821, 5: 53841, 6: 53865, 7: 53888, 8: 53906, 9: 53965}"
162,"{10: 58141, 11: 58160, 12: 58181, 13: 58197, 14: 58212, 44: 58216, 45: 58234, 46: 58441, 47: 58445, 48: 58452, 65: 58467, 66: 58482, 67: 58497, 68: 58512, 69: 58527, 70: 58542, 71: 58557, 72: 58572, 73: 58583, 74: 58642}"
163,"{58: 55321, 57: 55332, 56: 55347, 55: 55362, 54: 55377, 53: 55392, 52: 55407, 51: 55422, 50: 55437, 49: 55452, 43: 55458, 35: 55461, 42: 55462, 36: 55465, 37: 55681, 5: 55701, 6: 55725, 7: 55748, 8: 55766, 9: 55825}"
164,"{10: 59881, 11: 59900, 12: 59921, 13: 59937, 14: 59952, 44: 59956, 45: 59974, 46: 60181, 47: 60185, 48: 60192, 65: 60207, 66: 60222, 67: 60237, 68: 60252, 69: 60267, 70: 60282, 71: 60297, 72: 60312, 73: 60323, 74: 60382}"
165,"{58: 57121, 57: 57132, 56: 57147, 55: 57162, 54: 57177, 53: 57192, 52: 57207, 51: 57222, 50: 57237, 49: 57252, 43: 57258, 35: 57261, 42: 57262, 36: 57265, 37: 57421, 5: 57441, 6: 57465, 7: 57488, 8: 57506, 9: 57565}"
166,"{10: 61681, 11: 61700, 12: 61721, 13: 61737, 14: 61752, 44: 61756, 45: 61774, 46: 61981, 47: 61985, 48: 61992, 65: 62007, 66: 62022, 67: 62037, 68: 62052, 69: 62067, 70: 62082, 71: 62097, 72: 62112, 73: 62123, 74: 62182}"
167,"{58: 58921, 57: 58932, 56: 58947, 55: 58962, 54: 58977, 53: 58992, 52: 59007, 51: 59022, 50: 59037, 49: 59052, 43: 59058, 35: 59061, 42: 59062, 36: 59065, 37: 59221, 5: 59241, 6: 59265, 7: 59288, 8: 59306, 9: 59365}"
168,"{10: 63481, 11: 63500, 12: 63521, 13: 63537, 14: 63552, 44: 63556, 45: 63574, 46: 63781, 47: 63785, 48: 63792, 65: 63807, 66: 63822, 67: 63837, 68: 63852, 69: 63867, 70: 63882, 71: 63897, 72: 63912, 73: 63923, 74: 63982}"
169,"{58: 60661, 57: 60672, 56: 60687, 55: 60702, 54: 60717, 53: 60732, 52: 60747, 51: 60762, 50: 60777, 49: 60792, 43: 60798, 35: 60801, 42: 60802, 36: 60805, 37: 60961, 5: 60981, 6: 61005, 7: 61028, 8: 61046, 9: 61105}"
170,"{10: 65281, 11: 65300, 12: 65321, 13: 65337, 14: 65352, 44: 65356, 45: 65374, 46: 65581, 47: 65585, 48: 65592, 65: 65607, 66: 65622, 67: 65637, 68: 65652, 69: 65667, 70: 65682, 71: 65697, 72: 65712, 73: 65723, 74: 65782}"
171,"{58: 62461, 57: 62472, 56: 62487, 55: 62502, 54: 62517, 53: 62532, 52: 62547, 51: 62562, 50: 62577, 49: 62592, 43: 62598, 35: 62601, 42: 62602, 36: 62605, 37: 62761, 5: 62781, 6: 62805, 7: 62828, 8: 62846, 9: 62905}"
172,"{10: 67321, 11: 67340, 12: 67361, 13: 67377, 14: 67392, 44: 67396, 45: 67414, 46: 67621, 47: 67625, 48: 67632, 65: 67647, 66: 67662, 67: 67677, 68: 67692, 69: 67707, 70: 67722, 71: 67737, 72: 67752, 73: 67763, 74: 67822}"
173,"{58: 64321, 57: 64332, 56: 64347, 55: 64362, 54: 64377, 53: 64392, 52: 64407, 51: 64422, 50: 64437, 49: 64452, 43: 64458, 35: 64461, 42: 64462, 36: 64465, 37: 64621, 5: 64641, 6: 64665, 7: 64688, 8: 64706, 9: 64765}"
174,"{10: 69061, 11: 69080, 12: 69101, 13: 69117, 14: 69132, 44: 69136, 45: 69154, 46: 69361, 47: 69365, 48: 69372, 65: 69387, 66: 69402, 67: 69417, 68: 69432, 69: 69447, 70: 69462, 71: 69477, 72: 69492, 73: 69503, 74: 69562}"
175,"{58: 66121, 57: 66132, 56: 66147, 55: 66162, 54: 66177, 53: 66192, 52: 66207, 51: 66222, 50: 66237, 49: 66252, 43: 66258, 35: 66261, 42: 66262, 36: 66265, 37: 66481, 5: 66501, 6: 66525, 7: 66548, 8: 66566, 9: 66625}"
176,"{58: 67921, 57: 67932, 56: 67947, 55: 67962, 54: 67977, 53: 67992, 52: 68007, 51: 68022, 50: 68037, 49: 68052, 43: 68058, 35: 68061, 42: 68062, 36: 68065, 37: 68281, 5: 68301, 6: 68325, 7: 68348, 8: 68366, 9: 68425}"
177,"{92: 2821, 91: 2846, 90: 2871, 1: 2963, 86: 2988, 87: 3048, 2: 3090, 3: 3131, 4: 3166, 36: 3169, 37: 3301, 5: 3329, 6: 3363, 7: 3396, 8: 3421, 9: 3480}"
178,"{10: 5221, 11: 5245, 12: 5271, 13: 5291, 14: 5310, 15: 5336, 38: 5521, 35: 5524, 34: 5543, 82: 5583, 81: 5616, 85: 5676, 84: 5695, 83: 5709, 16: 5765, 17: 5776, 88: 5798, 89: 5820, 93: 5879}"
179,"{92: 3361, 91: 3383, 90: 3405, 1: 3485, 86: 3507, 87: 3567, 2: 3604, 3: 3639, 4: 3669, 36: 3672, 37: 3841, 5: 3866, 6: 3896, 7: 3925, 8: 3947, 9: 4006}"
180,"{10: 6421, 11: 6448, 12: 6478, 13: 6501, 14: 6523, 15: 6552, 38: 6721, 35: 6724, 34: 6746, 82: 6792, 81: 6830, 85: 6890, 84: 6911, 83: 6927, 16: 6991, 17: 7004, 88: 7029, 89: 7054, 93: 7113}"
181,"{92: 3661, 91: 3681, 90: 3701, 1: 3772, 86: 3791, 87: 3851, 2: 3884, 3: 3915, 4: 3942, 36: 3945, 37: 4141, 5: 4163, 6: 4189, 7: 4215, 8: 4235, 9: 4294}"
182,"{10: 6901, 11: 6922, 12: 6945, 13: 6963, 14: 6980, 15: 7003, 38: 7201, 35: 7204, 34: 7221, 82: 7256, 81: 7286, 85: 7346, 84: 7363, 83: 7375, 16: 7425, 17: 7435, 88: 7455, 89: 7475, 93: 7534}"
183,"{92: 4261, 91: 4286, 90: 4311, 1: 4403, 86: 4428, 87: 4488, 2: 4530, 3: 4571, 4: 4606, 36: 4609, 37: 4741, 5: 4769, 6: 4803, 7: 4836, 8: 4861, 9: 4920}"
184,"{10: 7201, 11: 7228, 12: 7258, 13: 7281, 14: 7303, 15: 7332, 38: 7501, 35: 7504, 34: 7526, 82: 7572, 81: 7610, 85: 7670, 84: 7691, 83: 7707, 16: 7771, 17: 7784, 88: 7809, 89: 7834, 93: 7893}"
185,"{92: 5521, 91: 5546, 90: 5571, 1: 5663, 86: 5688, 87: 5748, 2: 5790, 3: 5831, 4: 5866, 36: 5869, 37: 6001, 5: 6029, 6: 6063, 7: 6096, 8: 6121, 9: 6180}"
186,"{10: 9001, 11: 9028, 12: 9058, 13: 9081, 14: 9103, 15: 9132, 38: 9301, 35: 9304, 34: 9326, 82: 9372, 81: 9410, 85: 9470, 84: 9491, 83: 9507, 16: 9571, 17: 9584, 88: 9609, 89: 9634, 93: 9693}"
187,"{92: 6661, 91: 6686, 90: 6711, 1: 6803, 86: 6828, 87: 6888, 2: 6930, 3: 6971, 4: 7006, 36: 7009, 37: 7141, 5: 7169, 6: 7203, 7: 7236, 8: 7261, 9: 7320}"
188,"{10: 9961, 11: 9988, 12: 10018, 13: 10041, 14: 10063, 15: 10092, 38: 10261, 35: 10264, 34: 10286, 82: 10332, 81: 10370, 85: 10430, 84: 10451, 83: 10467, 16: 10531, 17: 10544, 88: 10569, 89: 10594, 93: 10653}"
189,"{92: 8461, 91: 8483, 90: 8505, 1: 8585, 86: 8607, 87: 8667, 2: 8704, 3: 8739, 4: 8769, 36: 8772, 37: 8941, 5: 8966, 6: 8996, 7: 9025, 8: 9047, 9: 9106}"
190,"{10: 10921, 11: 10942, 12: 10965, 13: 10983, 14: 11000, 15: 11023, 38: 11221, 35: 11224, 34: 11241, 82: 11276, 81: 11306, 85: 11366, 84: 11383, 83: 11395, 16: 11445, 17: 11455, 88: 11475, 89: 11495, 93: 11554}"
191,"{92: 10441, 91: 10466, 90: 10491, 1: 10583, 86: 10608, 87: 10668, 2: 10710, 3: 10751, 4: 10786, 36: 10789, 37: 10921, 5: 10949, 6: 10983, 7: 11016, 8: 11041, 9: 11100}"
192,"{10: 13561, 11: 13588, 12: 13618, 13: 13641, 14: 13663, 15: 13692, 38: 13861, 35: 13864, 34: 13886, 82: 13932, 81: 13970, 85: 14030, 84: 14051, 83: 14067, 16: 14131, 17: 14144, 88: 14169, 89: 14194, 93: 14253}"
193,"{92: 13561, 91: 13586, 90: 13611, 1: 13703, 86: 13728, 87: 13788, 2: 13830, 3: 13871, 4: 13906, 36: 13909, 37: 14041, 5: 14069, 6: 14103, 7: 14136, 8: 14161, 9: 14220}"
194,"{10: 14161, 11: 14185, 12: 14211, 13: 14231, 14: 14250, 15: 14276, 38: 14461, 35: 14464, 34: 14483, 82: 14523, 81: 14556, 85: 14616, 84: 14635, 83: 14649, 16: 14705, 17: 14716, 88: 14738, 89: 14760, 93: 14819}"
195,"{92: 14461, 91: 14486, 90: 14511, 1: 14603, 86: 14628, 87: 14688, 2: 14730, 3: 14771, 4: 14806, 36: 14809, 37: 14941, 5: 14969, 6: 15003, 7: 15036, 8: 15061, 9: 15120}"
196,"{10: 15361, 11: 15385, 12: 15411, 13: 15431, 14: 15450, 15: 15476, 38: 15661, 35: 15664, 34: 15683, 82: 15723, 81: 15756, 85: 15816, 84: 15835, 83: 15849, 16: 15905, 17: 15916, 88: 15938, 89: 15960, 93: 16019}"
197,"{92: 16261, 91: 16283, 90: 16305, 1: 16385, 86: 16407, 87: 16467, 2: 16504, 3: 16539, 4: 16569, 36: 16572, 37: 16741, 5: 16766, 6: 16796, 7: 16825, 8: 16847, 9: 16906}"
198,"{10: 16321, 11: 16342, 12: 16365, 13: 16383, 14: 16400, 15: 16423, 38: 16621, 35: 16624, 34: 16641, 82: 16676, 81: 16706, 85: 16766, 84: 16783, 83: 16795, 16: 16845, 17: 16855, 88: 16875, 89: 16895, 93: 16954}"
199,"{92: 17881, 91: 17901, 90: 17921, 1: 17992, 86: 18011, 87: 18071, 2: 18104, 3: 18135, 4: 18162, 36: 18165, 37: 18361, 5: 18383, 6: 18409, 7: 18435, 8: 18455, 9: 18514}"
