,begin_schedule
101,"{58: 61680, 57: 61740, 56: 61751, 55: 61766, 54: 61781, 53: 61796, 52: 61811, 51: 61826, 50: 61841, 49: 61856, 43: 61871, 35: 61877, 42: 61880, 36: 61881, 37: 61884, 5: 62040, 6: 62060, 7: 62084, 8: 62107, 9: 62125}"
102,"{58: 63480, 57: 63540, 56: 63551, 55: 63566, 54: 63581, 53: 63596, 52: 63611, 51: 63626, 50: 63641, 49: 63656, 43: 63671, 35: 63677, 42: 63680, 36: 63681, 37: 63684, 5: 63840, 6: 63860, 7: 63884, 8: 63907, 9: 63925}"
103,"{58: 65280, 57: 65340, 56: 65351, 55: 65366, 54: 65381, 53: 65396, 52: 65411, 51: 65426, 50: 65441, 49: 65456, 43: 65471, 35: 65477, 42: 65480, 36: 65481, 37: 65484, 5: 65640, 6: 65660, 7: 65684, 8: 65707, 9: 65725}"
104,"{10: 4440, 11: 4500, 12: 4519, 13: 4540, 14: 4556, 44: 4571, 45: 4575, 46: 4593, 47: 4800, 48: 4804, 65: 4811, 66: 4826, 67: 4841, 68: 4856, 69: 4871, 70: 4886, 71: 4901, 72: 4916, 73: 4931, 74: 4942}"
105,"{10: 7320, 11: 7380, 12: 7399, 13: 7420, 14: 7436, 44: 7451, 45: 7455, 46: 7473, 47: 7680, 48: 7684, 65: 7691, 66: 7706, 67: 7721, 68: 7736, 69: 7751, 70: 7766, 71: 7781, 72: 7796, 73: 7811, 74: 7822}"
106,"{10: 8160, 11: 8220, 12: 8239, 13: 8260, 14: 8276, 44: 8291, 45: 8295, 46: 8313, 47: 8520, 48: 8524, 65: 8531, 66: 8546, 67: 8561, 68: 8576, 69: 8591, 70: 8606, 71: 8621, 72: 8636, 73: 8651, 74: 8662}"
107,"{58: 4560, 57: 4620, 56: 4631, 55: 4646, 54: 4661, 53: 4676, 52: 4691, 51: 4706, 50: 4721, 49: 4736, 43: 4751, 35: 4757, 42: 4760, 36: 4761, 37: 4764, 5: 4920, 6: 4940, 7: 4964, 8: 4987, 9: 5005}"
108,"{10: 10080, 11: 10140, 12: 10159, 13: 10180, 14: 10196, 44: 10211, 45: 10215, 46: 10233, 47: 10440, 48: 10444, 65: 10451, 66: 10466, 67: 10481, 68: 10496, 69: 10511, 70: 10526, 71: 10541, 72: 10556, 73: 10571, 74: 10582}"
109,"{58: 6000, 57: 6060, 56: 6071, 55: 6086, 54: 6101, 53: 6116, 52: 6131, 51: 6146, 50: 6161, 49: 6176, 43: 6191, 35: 6197, 42: 6200, 36: 6201, 37: 6204, 5: 6360, 6: 6380, 7: 6404, 8: 6427, 9: 6445}"
110,"{10: 12120, 11: 12180, 12: 12199, 13: 12220, 14: 12236, 44: 12251, 45: 12255, 46: 12273, 47: 12480, 48: 12484, 65: 12491, 66: 12506, 67: 12521, 68: 12536, 69: 12551, 70: 12566, 71: 12581, 72: 12596, 73: 12611, 74: 12622}"
111,"{58: 7980, 57: 8040, 56: 8051, 55: 8066, 54: 8081, 53: 8096, 52: 8111, 51: 8126, 50: 8141, 49: 8156, 43: 8171, 35: 8177, 42: 8180, 36: 8181, 37: 8184, 5: 8340, 6: 8360, 7: 8384, 8: 8407, 9: 8425}"
112,"{10: 13920, 11: 13980, 12: 13999, 13: 14020, 14: 14036, 44: 14051, 45: 14055, 46: 14073, 47: 14340, 48: 14344, 65: 14351, 66: 14366, 67: 14381, 68: 14396, 69: 14411, 70: 14426, 71: 14441, 72: 14456, 73: 14471, 74: 14482}"
113,"{58: 9780, 57: 9840, 56: 9851, 55: 9866, 54: 9881, 53: 9896, 52: 9911, 51: 9926, 50: 9941, 49: 9956, 43: 9971, 35: 9977, 42: 9980, 36: 9981, 37: 9984, 5: 10140, 6: 10160, 7: 10184, 8: 10207, 9: 10225}"
114,"{10: 15660, 11: 15720, 12: 15739, 13: 15760, 14: 15776, 44: 15791, 45: 15795, 46: 15813, 47: 16080, 48: 16084, 65: 16091, 66: 16106, 67: 16121, 68: 16136, 69: 16151, 70: 16166, 71: 16181, 72: 16196, 73: 16211, 74: 16222}"
115,"{58: 11640, 57: 11700, 56: 11711, 55: 11726, 54: 11741, 53: 11756, 52: 11771, 51: 11786, 50: 11801, 49: 11816, 43: 11831, 35: 11837, 42: 11840, 36: 11841, 37: 11844, 5: 12000, 6: 12020, 7: 12044, 8: 12067, 9: 12085}"
116,"{10: 17520, 11: 17580, 12: 17599, 13: 17620, 14: 17636, 44: 17651, 45: 17655, 46: 17673, 47: 17940, 48: 17944, 65: 17951, 66: 17966, 67: 17981, 68: 17996, 69: 18011, 70: 18026, 71: 18041, 72: 18056, 73: 18071, 74: 18082}"
117,"{58: 13440, 57: 13500, 56: 13511, 55: 13526, 54: 13541, 53: 13556, 52: 13571, 51: 13586, 50: 13601, 49: 13616, 43: 13631, 35: 13637, 42: 13640, 36: 13641, 37: 13644, 5: 13800, 6: 13820, 7: 13844, 8: 13867, 9: 13885}"
118,"{10: 18480, 11: 18540, 12: 18559, 13: 18580, 14: 18596, 44: 18611, 45: 18615, 46: 18633, 47: 18840, 48: 18844, 65: 18851, 66: 18866, 67: 18881, 68: 18896, 69: 18911, 70: 18926, 71: 18941, 72: 18956, 73: 18971, 74: 18982}"
119,"{58: 15360, 57: 15420, 56: 15431, 55: 15446, 54: 15461, 53: 15476, 52: 15491, 51: 15506, 50: 15521, 49: 15536, 43: 15551, 35: 15557, 42: 15560, 36: 15561, 37: 15564, 5: 15720, 6: 15740, 7: 15764, 8: 15787, 9: 15805}"
120,"{10: 20040, 11: 20100, 12: 20119, 13: 20140, 14: 20156, 44: 20171, 45: 20175, 46: 20193, 47: 20460, 48: 20464, 65: 20471, 66: 20486, 67: 20501, 68: 20516, 69: 20531, 70: 20546, 71: 20561, 72: 20576, 73: 20591, 74: 20602}"
121,"{58: 17580, 57: 17640, 56: 17651, 55: 17666, 54: 17681, 53: 17696, 52: 17711, 51: 17726, 50: 17741, 49: 17756, 43: 17771, 35: 17777, 42: 17780, 36: 17781, 37: 17784, 5: 17940, 6: 17960, 7: 17984, 8: 18007, 9: 18025}"
122,"{10: 21840, 11: 21900, 12: 21919, 13: 21940, 14: 21956, 44: 21971, 45: 21975, 46: 21993, 47: 22260, 48: 22264, 65: 22271, 66: 22286, 67: 22301, 68: 22316, 69: 22331, 70: 22346, 71: 22361, 72: 22376, 73: 22391, 74: 22402}"
123,"{58: 19260, 57: 19320, 56: 19331, 55: 19346, 54: 19361, 53: 19376, 52: 19391, 51: 19406, 50: 19421, 49: 19436, 43: 19451, 35: 19457, 42: 19460, 36: 19461, 37: 19464, 5: 19680, 6: 19700, 7: 19724, 8: 19747, 9: 19765}"
124,"{10: 23700, 11: 23760, 12: 23779, 13: 23800, 14: 23816, 44: 23831, 45: 23835, 46: 23853, 47: 24060, 48: 24064, 65: 24071, 66: 24086, 67: 24101, 68: 24116, 69: 24131, 70: 24146, 71: 24161, 72: 24176, 73: 24191, 74: 24202}"
125,"{58: 21060, 57: 21120, 56: 21131, 55: 21146, 54: 21161, 53: 21176, 52: 21191, 51: 21206, 50: 21221, 49: 21236, 43: 21251, 35: 21257, 42: 21260, 36: 21261, 37: 21264, 5: 21480, 6: 21500, 7: 21524, 8: 21547, 9: 21565}"
126,"{10: 25680, 11: 25740, 12: 25759, 13: 25780, 14: 25796, 44: 25811, 45: 25815, 46: 25833, 47: 26040, 48: 26044, 65: 26051, 66: 26066, 67: 26081, 68: 26096, 69: 26111, 70: 26126, 71: 26141, 72: 26156, 73: 26171, 74: 26182}"
127,"{58: 22860, 57: 22920, 56: 22931, 55: 22946, 54: 22961, 53: 22976, 52: 22991, 51: 23006, 50: 23021, 49: 23036, 43: 23051, 35: 23057, 42: 23060, 36: 23061, 37: 23064, 5: 23280, 6: 23300, 7: 23324, 8: 23347, 9: 23365}"
128,"{10: 27480, 11: 27540, 12: 27559, 13: 27580, 14: 27596, 44: 27611, 45: 27615, 46: 27633, 47: 27840, 48: 27844, 65: 27851, 66: 27866, 67: 27881, 68: 27896, 69: 27911, 70: 27926, 71: 27941, 72: 27956, 73: 27971, 74: 27982}"
129,"{58: 24660, 57: 24720, 56: 24731, 55: 24746, 54: 24761, 53: 24776, 52: 24791, 51: 24806, 50: 24821, 49: 24836, 43: 24851, 35: 24857, 42: 24860, 36: 24861, 37: 24864, 5: 25080, 6: 25100, 7: 25124, 8: 25147, 9: 25165}"
130,"{10: 29280, 11: 29340, 12: 29359, 13: 29380, 14: 29396, 44: 29411, 45: 29415, 46: 29433, 47: 29640, 48: 29644, 65: 29651, 66: 29666, 67: 29681, 68: 29696, 69: 29711, 70: 29726, 71: 29741, 72: 29756, 73: 29771, 74: 29782}"
131,"{58: 26460, 57: 26520, 56: 26531, 55: 26546, 54: 26561, 53: 26576, 52: 26591, 51: 26606, 50: 26621, 49: 26636, 43: 26651, 35: 26657, 42: 26660, 36: 26661, 37: 26664, 5: 26880, 6: 26900, 7: 26924, 8: 26947, 9: 26965}"
132,"{10: 31080, 11: 31140, 12: 31159, 13: 31180, 14: 31196, 44: 31211, 45: 31215, 46: 31233, 47: 31440, 48: 31444, 65: 31451, 66: 31466, 67: 31481, 68: 31496, 69: 31511, 70: 31526, 71: 31541, 72: 31556, 73: 31571, 74: 31582}"
133,"{58: 28260, 57: 28320, 56: 28331, 55: 28346, 54: 28361, 53: 28376, 52: 28391, 51: 28406, 50: 28421, 49: 28436, 43: 28451, 35: 28457, 42: 28460, 36: 28461, 37: 28464, 5: 28680, 6: 28700, 7: 28724, 8: 28747, 9: 28765}"
134,"{10: 32880, 11: 32940, 12: 32959, 13: 32980, 14: 32996, 44: 33011, 45: 33015, 46: 33033, 47: 33300, 48: 33304, 65: 33311, 66: 33326, 67: 33341, 68: 33356, 69: 33371, 70: 33386, 71: 33401, 72: 33416, 73: 33431, 74: 33442}"
135,"{58: 30060, 57: 30120, 56: 30131, 55: 30146, 54: 30161, 53: 30176, 52: 30191, 51: 30206, 50: 30221, 49: 30236, 43: 30251, 35: 30257, 42: 30260, 36: 30261, 37: 30264, 5: 30480, 6: 30500, 7: 30524, 8: 30547, 9: 30565}"
136,"{10: 34740, 11: 34800, 12: 34819, 13: 34840, 14: 34856, 44: 34871, 45: 34875, 46: 34893, 47: 35160, 48: 35164, 65: 35171, 66: 35186, 67: 35201, 68: 35216, 69: 35231, 70: 35246, 71: 35261, 72: 35276, 73: 35291, 74: 35302}"
137,"{58: 31800, 57: 31860, 56: 31871, 55: 31886, 54: 31901, 53: 31916, 52: 31931, 51: 31946, 50: 31961, 49: 31976, 43: 31991, 35: 31997, 42: 32000, 36: 32001, 37: 32004, 5: 32220, 6: 32240, 7: 32264, 8: 32287, 9: 32305}"
138,"{10: 36480, 11: 36540, 12: 36559, 13: 36580, 14: 36596, 44: 36611, 45: 36615, 46: 36633, 47: 36840, 48: 36844, 65: 36851, 66: 36866, 67: 36881, 68: 36896, 69: 36911, 70: 36926, 71: 36941, 72: 36956, 73: 36971, 74: 36982}"
139,"{58: 33360, 57: 33420, 56: 33431, 55: 33446, 54: 33461, 53: 33476, 52: 33491, 51: 33506, 50: 33521, 49: 33536, 43: 33551, 35: 33557, 42: 33560, 36: 33561, 37: 33564, 5: 33720, 6: 33740, 7: 33764, 8: 33787, 9: 33805}"
140,"{10: 38280, 11: 38340, 12: 38359, 13: 38380, 14: 38396, 44: 38411, 45: 38415, 46: 38433, 47: 38640, 48: 38644, 65: 38651, 66: 38666, 67: 38681, 68: 38696, 69: 38711, 70: 38726, 71: 38741, 72: 38756, 73: 38771, 74: 38782}"
141,"{58: 35520, 57: 35580, 56: 35591, 55: 35606, 54: 35621, 53: 35636, 52: 35651, 51: 35666, 50: 35681, 49: 35696, 43: 35711, 35: 35717, 42: 35720, 36: 35721, 37: 35724, 5: 35940, 6: 35960, 7: 35984, 8: 36007, 9: 36025}"
142,"{10: 40080, 11: 40140, 12: 40159, 13: 40180, 14: 40196, 44: 40211, 45: 40215, 46: 40233, 47: 40440, 48: 40444, 65: 40451, 66: 40466, 67: 40481, 68: 40496, 69: 40511, 70: 40526, 71: 40541, 72: 40556, 73: 40571, 74: 40582}"
143,"{58: 37260, 57: 37320, 56: 37331, 55: 37346, 54: 37361, 53: 37376, 52: 37391, 51: 37406, 50: 37421, 49: 37436, 43: 37451, 35: 37457, 42: 37460, 36: 37461, 37: 37464, 5: 37680, 6: 37700, 7: 37724, 8: 37747, 9: 37765}"
144,"{10: 41880, 11: 41940, 12: 41959, 13: 41980, 14: 41996, 44: 42011, 45: 42015, 46: 42033, 47: 42240, 48: 42244, 65: 42251, 66: 42266, 67: 42281, 68: 42296, 69: 42311, 70: 42326, 71: 42341, 72: 42356, 73: 42371, 74: 42382}"
145,"{58: 39120, 57: 39180, 56: 39191, 55: 39206, 54: 39221, 53: 39236, 52: 39251, 51: 39266, 50: 39281, 49: 39296, 43: 39311, 35: 39317, 42: 39320, 36: 39321, 37: 39324, 5: 39480, 6: 39500, 7: 39524, 8: 39547, 9: 39565}"
146,"{10: 43680, 11: 43740, 12: 43759, 13: 43780, 14: 43796, 44: 43811, 45: 43815, 46: 43833, 47: 44040, 48: 44044, 65: 44051, 66: 44066, 67: 44081, 68: 44096, 69: 44111, 70: 44126, 71: 44141, 72: 44156, 73: 44171, 74: 44182}"
147,"{58: 40860, 57: 40920, 56: 40931, 55: 40946, 54: 40961, 53: 40976, 52: 40991, 51: 41006, 50: 41021, 49: 41036, 43: 41051, 35: 41057, 42: 41060, 36: 41061, 37: 41064, 5: 41220, 6: 41240, 7: 41264, 8: 41287, 9: 41305}"
148,"{10: 45540, 11: 45600, 12: 45619, 13: 45640, 14: 45656, 44: 45671, 45: 45675, 46: 45693, 47: 45900, 48: 45904, 65: 45911, 66: 45926, 67: 45941, 68: 45956, 69: 45971, 70: 45986, 71: 46001, 72: 46016, 73: 46031, 74: 46042}"
149,"{58: 42660, 57: 42720, 56: 42731, 55: 42746, 54: 42761, 53: 42776, 52: 42791, 51: 42806, 50: 42821, 49: 42836, 43: 42851, 35: 42857, 42: 42860, 36: 42861, 37: 42864, 5: 43080, 6: 43100, 7: 43124, 8: 43147, 9: 43165}"
150,"{10: 47280, 11: 47340, 12: 47359, 13: 47380, 14: 47396, 44: 47411, 45: 47415, 46: 47433, 47: 47640, 48: 47644, 65: 47651, 66: 47666, 67: 47681, 68: 47696, 69: 47711, 70: 47726, 71: 47741, 72: 47756, 73: 47771, 74: 47782}"
151,"{58: 44460, 57: 44520, 56: 44531, 55: 44546, 54: 44561, 53: 44576, 52: 44591, 51: 44606, 50: 44621, 49: 44636, 43: 44651, 35: 44657, 42: 44660, 36: 44661, 37: 44664, 5: 44880, 6: 44900, 7: 44924, 8: 44947, 9: 44965}"
152,"{10: 49140, 11: 49200, 12: 49219, 13: 49240, 14: 49256, 44: 49271, 45: 49275, 46: 49293, 47: 49500, 48: 49504, 65: 49511, 66: 49526, 67: 49541, 68: 49556, 69: 49571, 70: 49586, 71: 49601, 72: 49616, 73: 49631, 74: 49642}"
153,"{58: 46260, 57: 46320, 56: 46331, 55: 46346, 54: 46361, 53: 46376, 52: 46391, 51: 46406, 50: 46421, 49: 46436, 43: 46451, 35: 46457, 42: 46460, 36: 46461, 37: 46464, 5: 46680, 6: 46700, 7: 46724, 8: 46747, 9: 46765}"
154,"{10: 50880, 11: 50940, 12: 50959, 13: 50980, 14: 50996, 44: 51011, 45: 51015, 46: 51033, 47: 51240, 48: 51244, 65: 51251, 66: 51266, 67: 51281, 68: 51296, 69: 51311, 70: 51326, 71: 51341, 72: 51356, 73: 51371, 74: 51382}"
155,"{58: 48060, 57: 48120, 56: 48131, 55: 48146, 54: 48161, 53: 48176, 52: 48191, 51: 48206, 50: 48221, 49: 48236, 43: 48251, 35: 48257, 42: 48260, 36: 48261, 37: 48264, 5: 48480, 6: 48500, 7: 48524, 8: 48547, 9: 48565}"
156,"{10: 52620, 11: 52680, 12: 52699, 13: 52720, 14: 52736, 44: 52751, 45: 52755, 46: 52773, 47: 53040, 48: 53044, 65: 53051, 66: 53066, 67: 53081, 68: 53096, 69: 53111, 70: 53126, 71: 53141, 72: 53156, 73: 53171, 74: 53182}"
157,"{58: 49800, 57: 49860, 56: 49871, 55: 49886, 54: 49901, 53: 49916, 52: 49931, 51: 49946, 50: 49961, 49: 49976, 43: 49991, 35: 49997, 42: 50000, 36: 50001, 37: 50004, 5: 50220, 6: 50240, 7: 50264, 8: 50287, 9: 50305}"
158,"{10: 54420, 11: 54480, 12: 54499, 13: 54520, 14: 54536, 44: 54551, 45: 54555, 46: 54573, 47: 54840, 48: 54844, 65: 54851, 66: 54866, 67: 54881, 68: 54896, 69: 54911, 70: 54926, 71: 54941, 72: 54956, 73: 54971, 74: 54982}"
159,"{58: 51720, 57: 51780, 56: 51791, 55: 51806, 54: 51821, 53: 51836, 52: 51851, 51: 51866, 50: 51881, 49: 51896, 43: 51911, 35: 51917, 42: 51920, 36: 51921, 37: 51924, 5: 52140, 6: 52160, 7: 52184, 8: 52207, 9: 52225}"
160,"{10: 56340, 11: 56400, 12: 56419, 13: 56440, 14: 56456, 44: 56471, 45: 56475, 46: 56493, 47: 56700, 48: 56704, 65: 56711, 66: 56726, 67: 56741, 68: 56756, 69: 56771, 70: 56786, 71: 56801, 72: 56816, 73: 56831, 74: 56842}"
161,"{58: 53460, 57: 53520, 56: 53531, 55: 53546, 54: 53561, 53: 53576, 52: 53591, 51: 53606, 50: 53621, 49: 53636, 43: 53651, 35: 53657, 42: 53660, 36: 53661, 37: 53664, 5: 53820, 6: 53840, 7: 53864, 8: 53887, 9: 53905}"
162,"{10: 58080, 11: 58140, 12: 58159, 13: 58180, 14: 58196, 44: 58211, 45: 58215, 46: 58233, 47: 58440, 48: 58444, 65: 58451, 66: 58466, 67: 58481, 68: 58496, 69: 58511, 70: 58526, 71: 58541, 72: 58556, 73: 58571, 74: 58582}"
163,"{58: 55260, 57: 55320, 56: 55331, 55: 55346, 54: 55361, 53: 55376, 52: 55391, 51: 55406, 50: 55421, 49: 55436, 43: 55451, 35: 55457, 42: 55460, 36: 55461, 37: 55464, 5: 55680, 6: 55700, 7: 55724, 8: 55747, 9: 55765}"
164,"{10: 59820, 11: 59880, 12: 59899, 13: 59920, 14: 59936, 44: 59951, 45: 59955, 46: 59973, 47: 60180, 48: 60184, 65: 60191, 66: 60206, 67: 60221, 68: 60236, 69: 60251, 70: 60266, 71: 60281, 72: 60296, 73: 60311, 74: 60322}"
165,"{58: 57060, 57: 57120, 56: 57131, 55: 57146, 54: 57161, 53: 57176, 52: 57191, 51: 57206, 50: 57221, 49: 57236, 43: 57251, 35: 57257, 42: 57260, 36: 57261, 37: 57264, 5: 57420, 6: 57440, 7: 57464, 8: 57487, 9: 57505}"
166,"{10: 61620, 11: 61680, 12: 61699, 13: 61720, 14: 61736, 44: 61751, 45: 61755, 46: 61773, 47: 61980, 48: 61984, 65: 61991, 66: 62006, 67: 62021, 68: 62036, 69: 62051, 70: 62066, 71: 62081, 72: 62096, 73: 62111, 74: 62122}"
167,"{58: 58860, 57: 58920, 56: 58931, 55: 58946, 54: 58961, 53: 58976, 52: 58991, 51: 59006, 50: 59021, 49: 59036, 43: 59051, 35: 59057, 42: 59060, 36: 59061, 37: 59064, 5: 59220, 6: 59240, 7: 59264, 8: 59287, 9: 59305}"
168,"{10: 63420, 11: 63480, 12: 63499, 13: 63520, 14: 63536, 44: 63551, 45: 63555, 46: 63573, 47: 63780, 48: 63784, 65: 63791, 66: 63806, 67: 63821, 68: 63836, 69: 63851, 70: 63866, 71: 63881, 72: 63896, 73: 63911, 74: 63922}"
169,"{58: 60600, 57: 60660, 56: 60671, 55: 60686, 54: 60701, 53: 60716, 52: 60731, 51: 60746, 50: 60761, 49: 60776, 43: 60791, 35: 60797, 42: 60800, 36: 60801, 37: 60804, 5: 60960, 6: 60980, 7: 61004, 8: 61027, 9: 61045}"
170,"{10: 65220, 11: 65280, 12: 65299, 13: 65320, 14: 65336, 44: 65351, 45: 65355, 46: 65373, 47: 65580, 48: 65584, 65: 65591, 66: 65606, 67: 65621, 68: 65636, 69: 65651, 70: 65666, 71: 65681, 72: 65696, 73: 65711, 74: 65722}"
171,"{58: 62400, 57: 62460, 56: 62471, 55: 62486, 54: 62501, 53: 62516, 52: 62531, 51: 62546, 50: 62561, 49: 62576, 43: 62591, 35: 62597, 42: 62600, 36: 62601, 37: 62604, 5: 62760, 6: 62780, 7: 62804, 8: 62827, 9: 62845}"
172,"{10: 67260, 11: 67320, 12: 67339, 13: 67360, 14: 67376, 44: 67391, 45: 67395, 46: 67413, 47: 67620, 48: 67624, 65: 67631, 66: 67646, 67: 67661, 68: 67676, 69: 67691, 70: 67706, 71: 67721, 72: 67736, 73: 67751, 74: 67762}"
173,"{58: 64260, 57: 64320, 56: 64331, 55: 64346, 54: 64361, 53: 64376, 52: 64391, 51: 64406, 50: 64421, 49: 64436, 43: 64451, 35: 64457, 42: 64460, 36: 64461, 37: 64464, 5: 64620, 6: 64640, 7: 64664, 8: 64687, 9: 64705}"
174,"{10: 69000, 11: 69060, 12: 69079, 13: 69100, 14: 69116, 44: 69131, 45: 69135, 46: 69153, 47: 69360, 48: 69364, 65: 69371, 66: 69386, 67: 69401, 68: 69416, 69: 69431, 70: 69446, 71: 69461, 72: 69476, 73: 69491, 74: 69502}"
175,"{58: 66060, 57: 66120, 56: 66131, 55: 66146, 54: 66161, 53: 66176, 52: 66191, 51: 66206, 50: 66221, 49: 66236, 43: 66251, 35: 66257, 42: 66260, 36: 66261, 37: 66264, 5: 66480, 6: 66500, 7: 66524, 8: 66547, 9: 66565}"
176,"{58: 67860, 57: 67920, 56: 67931, 55: 67946, 54: 67961, 53: 67976, 52: 67991, 51: 68006, 50: 68021, 49: 68036, 43: 68051, 35: 68057, 42: 68060, 36: 68061, 37: 68064, 5: 68280, 6: 68300, 7: 68324, 8: 68347, 9: 68365}"
177,"{92: 2760, 91: 2820, 90: 2845, 1: 2870, 86: 2962, 87: 2987, 2: 3047, 3: 3089, 4: 3130, 36: 3165, 37: 3168, 5: 3300, 6: 3328, 7: 3362, 8: 3395, 9: 3420}"
178,"{10: 5160, 11: 5220, 12: 5244, 13: 5270, 14: 5290, 15: 5309, 38: 5335, 35: 5520, 34: 5523, 82: 5542, 81: 5582, 85: 5615, 84: 5675, 83: 5694, 16: 5708, 17: 5764, 88: 5775, 89: 5797, 93: 5819}"
179,"{92: 3300, 91: 3360, 90: 3382, 1: 3404, 86: 3484, 87: 3506, 2: 3566, 3: 3603, 4: 3638, 36: 3668, 37: 3671, 5: 3840, 6: 3865, 7: 3895, 8: 3924, 9: 3946}"
180,"{10: 6360, 11: 6420, 12: 6447, 13: 6477, 14: 6500, 15: 6522, 38: 6551, 35: 6720, 34: 6723, 82: 6745, 81: 6791, 85: 6829, 84: 6889, 83: 6910, 16: 6926, 17: 6990, 88: 7003, 89: 7028, 93: 7053}"
181,"{92: 3600, 91: 3660, 90: 3680, 1: 3700, 86: 3771, 87: 3790, 2: 3850, 3: 3883, 4: 3914, 36: 3941, 37: 3944, 5: 4140, 6: 4162, 7: 4188, 8: 4214, 9: 4234}"
182,"{10: 6840, 11: 6900, 12: 6921, 13: 6944, 14: 6962, 15: 6979, 38: 7002, 35: 7200, 34: 7203, 82: 7220, 81: 7255, 85: 7285, 84: 7345, 83: 7362, 16: 7374, 17: 7424, 88: 7434, 89: 7454, 93: 7474}"
183,"{92: 4200, 91: 4260, 90: 4285, 1: 4310, 86: 4402, 87: 4427, 2: 4487, 3: 4529, 4: 4570, 36: 4605, 37: 4608, 5: 4740, 6: 4768, 7: 4802, 8: 4835, 9: 4860}"
184,"{10: 7140, 11: 7200, 12: 7227, 13: 7257, 14: 7280, 15: 7302, 38: 7331, 35: 7500, 34: 7503, 82: 7525, 81: 7571, 85: 7609, 84: 7669, 83: 7690, 16: 7706, 17: 7770, 88: 7783, 89: 7808, 93: 7833}"
185,"{92: 5460, 91: 5520, 90: 5545, 1: 5570, 86: 5662, 87: 5687, 2: 5747, 3: 5789, 4: 5830, 36: 5865, 37: 5868, 5: 6000, 6: 6028, 7: 6062, 8: 6095, 9: 6120}"
186,"{10: 8940, 11: 9000, 12: 9027, 13: 9057, 14: 9080, 15: 9102, 38: 9131, 35: 9300, 34: 9303, 82: 9325, 81: 9371, 85: 9409, 84: 9469, 83: 9490, 16: 9506, 17: 9570, 88: 9583, 89: 9608, 93: 9633}"
187,"{92: 6600, 91: 6660, 90: 6685, 1: 6710, 86: 6802, 87: 6827, 2: 6887, 3: 6929, 4: 6970, 36: 7005, 37: 7008, 5: 7140, 6: 7168, 7: 7202, 8: 7235, 9: 7260}"
188,"{10: 9900, 11: 9960, 12: 9987, 13: 10017, 14: 10040, 15: 10062, 38: 10091, 35: 10260, 34: 10263, 82: 10285, 81: 10331, 85: 10369, 84: 10429, 83: 10450, 16: 10466, 17: 10530, 88: 10543, 89: 10568, 93: 10593}"
189,"{92: 8400, 91: 8460, 90: 8482, 1: 8504, 86: 8584, 87: 8606, 2: 8666, 3: 8703, 4: 8738, 36: 8768, 37: 8771, 5: 8940, 6: 8965, 7: 8995, 8: 9024, 9: 9046}"
190,"{10: 10860, 11: 10920, 12: 10941, 13: 10964, 14: 10982, 15: 10999, 38: 11022, 35: 11220, 34: 11223, 82: 11240, 81: 11275, 85: 11305, 84: 11365, 83: 11382, 16: 11394, 17: 11444, 88: 11454, 89: 11474, 93: 11494}"
191,"{92: 10380, 91: 10440, 90: 10465, 1: 10490, 86: 10582, 87: 10607, 2: 10667, 3: 10709, 4: 10750, 36: 10785, 37: 10788, 5: 10920, 6: 10948, 7: 10982, 8: 11015, 9: 11040}"
192,"{10: 13500, 11: 13560, 12: 13587, 13: 13617, 14: 13640, 15: 13662, 38: 13691, 35: 13860, 34: 13863, 82: 13885, 81: 13931, 85: 13969, 84: 14029, 83: 14050, 16: 14066, 17: 14130, 88: 14143, 89: 14168, 93: 14193}"
193,"{92: 13500, 91: 13560, 90: 13585, 1: 13610, 86: 13702, 87: 13727, 2: 13787, 3: 13829, 4: 13870, 36: 13905, 37: 13908, 5: 14040, 6: 14068, 7: 14102, 8: 14135, 9: 14160}"
194,"{10: 14100, 11: 14160, 12: 14184, 13: 14210, 14: 14230, 15: 14249, 38: 14275, 35: 14460, 34: 14463, 82: 14482, 81: 14522, 85: 14555, 84: 14615, 83: 14634, 16: 14648, 17: 14704, 88: 14715, 89: 14737, 93: 14759}"
195,"{92: 14400, 91: 14460, 90: 14485, 1: 14510, 86: 14602, 87: 14627, 2: 14687, 3: 14729, 4: 14770, 36: 14805, 37: 14808, 5: 14940, 6: 14968, 7: 15002, 8: 15035, 9: 15060}"
196,"{10: 15300, 11: 15360, 12: 15384, 13: 15410, 14: 15430, 15: 15449, 38: 15475, 35: 15660, 34: 15663, 82: 15682, 81: 15722, 85: 15755, 84: 15815, 83: 15834, 16: 15848, 17: 15904, 88: 15915, 89: 15937, 93: 15959}"
197,"{92: 16200, 91: 16260, 90: 16282, 1: 16304, 86: 16384, 87: 16406, 2: 16466, 3: 16503, 4: 16538, 36: 16568, 37: 16571, 5: 16740, 6: 16765, 7: 16795, 8: 16824, 9: 16846}"
198,"{10: 16260, 11: 16320, 12: 16341, 13: 16364, 14: 16382, 15: 16399, 38: 16422, 35: 16620, 34: 16623, 82: 16640, 81: 16675, 85: 16705, 84: 16765, 83: 16782, 16: 16794, 17: 16844, 88: 16854, 89: 16874, 93: 16894}"
199,"{92: 17820, 91: 17880, 90: 17900, 1: 17920, 86: 17991, 87: 18010, 2: 18070, 3: 18103, 4: 18134, 36: 18161, 37: 18164, 5: 18360, 6: 18382, 7: 18408, 8: 18434, 9: 18454}"
